Rank,Model,MAE,RMSE,R2,MAPE,RMSPE
1,RandomForest (Tuned),898.6336215908892,1280.8090839793856,0.8280950306212838,12.79723230687115,17.056614108856152
2,RandomForest (Default),900.0179233019526,1282.9075843375613,0.8275312648455653,12.822349829335566,17.088011262150975
3,Heuristic model,1257.466099572953,1623.8457435284713,0.7236820007302646,18.81011448972421,23.89546223775957
4,LinearSVR (Tuned),1201.3956223637686,2244.99137117416,0.4718600921810112,17.182578246943194,26.31219279596357
5,LinearSVR (Default),1200.0396891916314,2234.957652833887,0.4765704577205364,17.19340185794199,26.368434812705548
6,Baseline (DummyRegressor),2263.3723267143123,3095.5833762216816,-0.0041639932958517,36.96494846678222,55.68643814748974
